category,amc,etf,benchmark_index,website_link,nse_ticker,bse_ticker,isin_code,date_of_inception,aum_in_cores,expense_ratio,overall_tracking_error,overall_tracking_difference,years_in_operation
Nifty 200,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,Nifty 200 Momentum 30 TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-200-momentum-30-etf,MOMENTUM,543575,INF209KB14K7,19-08-2022,46.55,0.29,0.26,-0.5,3.27
Nifty 200,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,Nifty 200 Quality 30 TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-200-quality-30-etf,NIFTYQLITY,543574,INF209KB15K4,19-08-2022,28.89,0.29,0.07,-0.38,3.27
Nifty 50,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty 50 ETF,Nifty 50 TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-50-etf,BSLNIFTY,543474,INF209KB19DI,22-07-2011,2988,0.04,0.03,-0.17,14.32
SENSEX,Aditya Birla Sun Life MF,Aditya Birla Sun Life BSE Sensex ETF,S&P BSE Sensex TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-bse-sensex-etf,BSLSENETFG,540008,INF209KB10E8,18-07-2016,289,0.04,0.03,-1.35,9.34
Nifty Next 50,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty Next 50 ETF,Nifty Next 50 TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-next-50-etf,ABSLNN50ET,542230,INF209KB16D7,11-08-2012,96.06,0.09,0.11,-0.23,13.28
Nifty Total Market,Angel One Mutual Fund,Angel One Nifty Total Market ETF,Nifty Total Market TRI,https://www.angelone.in/mutual-funds/mf-schemes/angel-one-nifty-total-market-etf-direct-plan,AONETOTAL,,INF1J2R01015,28-02-2025,43.86,0.28,0.03,,0.74
Nifty 50,Axis Mutual Fund,Axis Nifty 50 ETF,Nifty 50 TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty-50-etf/ne-gp,AXISNIFTY,,INF846K01W98,03-07-2017,1101,0.04,0.03,0.02,8.36
SENSEX,Axis Mutual Fund,Axis S&P BSE SENSEX ETF,S&P BSE Sensex TRI,https://www.axismf.com/mutual-funds/etfs/axis-bse-sensex-etf/pe-gp,AXSENSEX,543853,INF846K010Q0,29-03-2023,136,0.04,0.03,-0.26,2.64
Nifty 500,Axis Mutual Fund,Axis Nifty500 Value 50 ETF,NIFTY 500 Value 50 TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty500-value-50-etf/ve-gp,AXISVALUE,544382,INF846KA1119,20-03-2025,15.22,0..25,0.79,1.21,0.68
Nifty 50,Bandhan Mutual Fund,Bandhan Nifty 50 ETF,Nifty 50 TRI,https://hubmobile.bandhanamc.com/etf/,IDFNIFTYET,,INF194KA1U07,07-10-2016,21,0.09,0.03,-0.24,9.1
Nifty 50,DSP Mutual Fund,DSP Nifty 50 ETF,Nifty 50 TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-50/dnyet-direct-growth#schemeFundDetails,NIFTY50ADD,543440,INF740KA1CL0,30-12-2021,160,0.07,0.02,-0.01,3.87
SENSEX,DSP Mutual Fund,DSP BSE Sensex ETF,S&P BSE Sensex TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/s-p-bse-sensex-etf/dspbs-direct-growth,SENSEXADD,543947,INF740KA1SZ6,02-08-2023,8.46,0.08,0.02,0.27,2.3
Nifty MidCap 150,DSP Mutual Fund,DSP Nifty Midcap 150 Quality 50 ETF,Nifty Midcap 150 Quality 50 TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-midcap-150-quality-50/dnmcf-direct-growth#schemeFundDetails,MIDQ50ADD,,INF740KA1QL0,30-12-2021,104.35,0.3,0.09,-0.25,3.91
Nifty 500,DSP Mutual Fund,DSP Nifty500 Flexicap Quality 30 ETF,Nifty500 Flexicap Quality 30 TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/dsp-nifty500-flexicap-quality-30-etf/dnfqe-direct-growth,FLEXIADD,544581,INF740KA1WU9,16-10-2025,10.33,0.31,0.01,0.14,0.13
Nifty 50,DSP Mutual Fund,DSP Nifty 50 Equal Weight ETF,Nifty 50 Equal Weight TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-50-equal-weight/dnew-direct-daily-idcw,EQUAL50ADD,543388,INF740KA1QK2,08-11-2021,609.68,0.2,0.03,-0.37,4.08
Nifty 500,Edelweiss Mutual Fund,Edelweiss Nifty 500 Multicap MQ 50 ETF,Nifty500 Multicap Momentum Quality 50 TRI,https://www.edelweissmf.com/types-of-mutual-funds/index-fund/edelweiss-nifty500-multicap-momentum-quality-50-etf,EMULTIMQ,,INF754K01TF1,07-11-2024,31.1,0.31,0.47,-0.59,1.05
Nifty LargeMidcap 250,Edelweiss Mutual Fund,Edelweiss Nifty LargeMidcap 250 ETF,Nifty LargeMidcap 250 TRI,https://www.edelweissmf.com/factsheet/factsheets/Exchange-Traded-Funds/Nifty-LargeMidcap-250-ETF.html,ELM250,,INF754K01VV4,09-09-2025,80.2,1.09,0.06,0.04,0.21
