UNIVERSE,ASSET CLASS,CATEGORY,SUB-CATEGORY,AMC,ETF,BENCHMARK INDEX,website_link,SYMBOL,BSE TICKER,ISIN CODE,LAUNCH DATE,AUM(Crores),EXPENSE RATIO,OVERALL TRACKING ERROR,OVERALL TRACKING DIFFERENCE,YEARS ACTIVE
,COMMODITIES,GOLD,,Choice Mutual Fund,Choice Gold ETF,Domestic Price of Gold,https://choicemf.com/mutual-funds/etf,CHOICEGOLD,,INF2KCX01012,10-11-2025,,0.51,,-0.5,0.09
,COMMODITIES,GOLD,,360 ONE Mutual Fund,360 ONE Gold ETF,Domestic Price of Gold,https://www.360.one/asset-management/mutualfund/,GOLD360,544375,INF579M01BB5,17-03-2025,62.39,0.43,,,0.73
,COMMODITIES,SILVER,,360 ONE Mutual Fund,360 ONE Silver ETF,Domestic Price of Physical Silver,https://archive.iiflmf.com/international/our-funds/etf/360-one-silver-etf,SILVER360,544389,INF579M01BC3,10-03-2025,51.51,0.41,,,0.75
NSE,EQUITY,STRATEGIC,Nifty 200 Factor Indices,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,Nifty 200 Momentum 30 TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-200-momentum-30-etf,MOMENTUM,543575,INF209KB14K7,19-08-2022,46.55,0.29,0.26,-0.5,3.27
NSE,EQUITY,STRATEGIC,Nifty 200 Factor Indices,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,Nifty 200 Quality 30 TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-200-quality-30-etf,NIFTYQLITY,543574,INF209KB15K4,19-08-2022,28.89,0.29,0.07,-0.38,3.27
NSE,EQUITY,BROADER,Nifty 50,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty 50 ETF,Nifty 50 TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-50-etf,BSLNIFTY,543474,INF209KB19DI,22-07-2011,2988,0.04,0.03,-0.17,14.32
BSE,EQUITY,BROADER,BSE Sensex,Aditya Birla Sun Life MF,Aditya Birla Sun Life BSE Sensex ETF,S&P BSE Sensex TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-bse-sensex-etf,BSLSENETFG,540008,INF209KB10E8,18-07-2016,289,0.04,0.03,-1.35,9.34
NSE,EQUITY,BROADER,Nifty Next 50,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty Next 50 ETF,Nifty Next 50 TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-next-50-etf,ABSLNN50ET,542230,INF209KB16D7,11-08-2012,96.06,0.09,0.11,-0.23,13.28
NSE,EQUITY,SECTORAL,BANK,Aditya Birla Sun Life MF,Aditya Birla Sun Life Banking ETF,Nifty Bank TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-bank-etf,ABSLBANETF,542863,INF209KB17D5,30-10-2019,2788.9,0.14,0.02,-0.27,6.11
NSE,EQUITY,SECTORAL,FINANCIAL SERVICES,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty Financial Services ETF,Nifty Financial Services TRI,https://mutualfund.adityabirlacapital.com/campaign/aditya-birla-sun-life-nifty-financial-services-etf,ABSLFINSRV,,INF209KB15I8,03-08-2022,,0,,,3.35
NSE,EQUITY,SECTORAL,HEALTHCARE,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty Healthcare ETF,Nifty Healthcare TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-healthcare-etf,HEALTHY,543473,INF209KB10C2,28-10-2021,46.77,0.19,0.04,-0.02,4.11
NSE,EQUITY,SECTORAL,IT,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty IT ETF,NIFTY IT TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-it-etf,TECH,543472,INF209KB11D8,03-11-2021,226.83,0.19,0.06,-0.34,4.09
NSE,EQUITY,THEMATIC,PSE,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty PSE ETF,Nifty PSE TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-pse-etf,ABSLPSE,544218,INF209KB19Z4,23-05-2024,32.01,0.2,0.07,-0.13,1.54
,COMMODITIES,GOLD,,Aditya Birla Sun Life MF,Aditya Birla Sun Life Gold ETF - Growth,Domestic Price of Gold,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-gold-etf,BSLGOLDETF,533408,INF209KB18D3,13-05-2011,1715.12,0.47,0.88,-1.09,14.59
,COMMODITIES,SILVER,,Aditya Birla Sun Life MF,Aditya Birla Sun Life Silver ETF,Domestic Price of Physical Silver,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-silver-etf,SILVER,543471,INF209KB19F6,31-01-2022,1756.21,0.35,0.53,-1.12,3.86
,DEBT,LIQUID,,Aditya Birla Sun Life MF,Aditya Birla Sun Life CRISIL Liquid Overnight ETF,CRISIL Liquid Overnight Index,https://www.nseindia.com/get-quote/equity/ABSLLIQUID/Aditya-Birla-Sun-Life-CRISIL-Liquid-Overnight-ETF,ABSLLIQUID,,INF209KB18T9,16-03-2023,42.75,0.43,0.01,-0.47,2.75
,DEBT,GILT,,Aditya Birla Sun Life MF,Aditya Birla Sun Life CRISIL 10 Year Gilt ETF,Crisil 10 year Gilt Index,https://mutualfund.adityabirlacapital.com/products/saving-solution/aditya-birla-sun-life-crisil-10-year-gilt-etf,GSEC10ABSL,,INF209KC1142,19-08-2024,31.73,0.2,0.54,0.38,1.32
,DEBT,GILT,,Aditya Birla Sun Life MF,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,CRISIL Broad Based Gilt Index,https://mutualfund.adityabirlacapital.com/empower/passive-etfs/CRISIL-Broad-Based-Gilt-ETF.html,ABGSEC,,INF209KC1134,05-07-2024,44.39,0.19,0.58,0.43,1.44
NSE,EQUITY,BROADER,Nifty Total Market,Angel One Mutual Fund,Angel One Nifty Total Market ETF,Nifty Total Market TRI,https://www.angelone.in/mutual-funds/mf-schemes/angel-one-nifty-total-market-etf-direct-plan,AONETOTAL,,INF1J2R01015,28-02-2025,43.86,0.28,0.03,,0.74
