etf_id,assetid,subclassid,sub_subclassid,amcid,ETF,SYMBOL,isin_code,Holding,Amount,,
4,1,1,19,2,SBI BSE 100 ETF,SETFBSE100,INF200KA1572,HDFC Bank Ltd.,10.28,Large Cap,45.38
4,,,,,,,INF200KA1572,Reliance Industries Ltd,7.23,,
4,,,,,,,INF200KA1572,ICICI Bank Ltd.,6.53,,
4,,,,,,,INF200KA1572,Bharti Airtel Ltd.,4,,
4,,,,,,,INF200KA1572,Infosys Ltd,3.93,,
4,,,,,,,INF200KA1572,Larsen & Toubro Ltd,3.25,,
4,,,,,,,INF200KA1572,State Bank of India,2.78,,
4,,,,,,,INF200KA1572,ITC Ltd,2.65,,
4,,,,,,,INF200KA1572,Axis Bank Ltd.,2.47,,
4,,,,,,,INF200KA1572,Mahindra & Mahindra Ltd.,2.26,,
5,1,4,70,8,Mirae Asset BSE 200 Equal Weight ETF,EQUAL200,INF769K01OA1,Hindustan Zinc Ltd.,0.58,Large Cap,2.26
5,,,,,,,INF769K01OA1,Shriram Finance Limited,0.58,Mid Cap,3.33
5,,,,,,,INF769K01OA1,Mahindra & Mahindra Financial Services Limited,0.57,,
5,,,,,,,INF769K01OA1,Rail Vikas Nigam Limited,0.56,,
5,,,,,,,INF769K01OA1,Vedanta Limited,0.56,,
5,,,,,,,INF769K01OA1,Steel Authority of India Ltd.,0.56,,
5,,,,,,,INF769K01OA1,Ashok Leyland Ltd.,0.55,,
5,,,,,,,INF769K01OA1,NMDC Ltd,0.55,,
5,,,,,,,INF769K01OA1,Hindustan Petroleum Corporation Ltd,0.54,,
5,,,,,,,INF769K01OA1,Indian Railway Finance Corporation,0.54,,
6,1,1,11,9,ICICI Prudential BSE 500 ETF,BSE500IETF,INF109KC1V59,HDFC Bank Ltd.,7.74,Large Cap,33.84
6,,,,,,,INF109KC1V59,Reliance Industries Ltd,5.37,,
6,,,,,,,INF109KC1V59,ICICI Bank Ltd.,5.02,,
6,,,,,,,INF109KC1V59,Bharti Airtel Ltd.,2.91,,
6,,,,,,,INF109KC1V59,Infosys Ltd,2.82,,
6,,,,,,,INF109KC1V59,Larsen & Toubro Ltd,2.41,,
6,,,,,,,INF109KC1V59,State Bank of India,2.06,,
6,,,,,,,INF109KC1V59,ITC Ltd,1.98,,
6,,,,,,,INF109KC1V59,Axis Bank Ltd.,1.85,,
6,,,,,,,INF109KC1V59,Mahindra & Mahindra Ltd.,1.68,,
