"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D   %CHNG 
"
"CHOICEGOLD","Gold","153.33","165.90","150.64","154.06","165.90","-","11.84","7.69","30,519","0.47","153.91","175.49","120.00",10.81,"-"
"NEXT50ADD","Nifty Next 50 TRI","68.97","73.00","68.66","70.01","73.00","-","2.99","4.27","16,705","0.11","69.89","81.00","65.53",0.67,"-"
"HDFCQUAL","HDFC NIFTY100 Quality 30 ETF","58.26","61.87","57.74","58.74","61.00","-","2.26","3.85","70,456","0.41","58.71","61.87","49.53",-3.37,"7.15"
"MONIFTY100","Nifty 100 Total Return Index","26.36","27.30","26.10","26.51","27.30","-","0.79","2.98","8,082","0.02","26.51","27.97","25.02",1.14,"-"
"MSCIADD","MSCI India Index","30.29","31.00","30.00","30.48","31.00","-","0.52","1.71","2,708","0.01","30.54","33.82","29.20",0.95,"-"
"QUAL30IETF","ICICI Prudential Nifty 200 Quality 30 ETF","21.04","22.56","20.88","21.24","21.58","-","0.34","1.60","1,66,397","0.35","21.26","22.72","18.00",-3.51,"6.39"
"SENSEXADD","DSP S&P BSE Sensex ETF","85.12","87.00","84.77","85.79","87.00","-","1.21","1.41","5,356","0.05","85.69","88.20","72.00",-1.03,"10.15"
"SMALLADD","Nifty Smallcap 250 Index","16.14","16.49","15.91","16.27","16.49","-","0.22","1.35","34,905","0.06","16.24","17.15","15.15",-0.99,"-"
"BSLSENETFG","BSE SENSEX Index","83.00","84.00","82.13","83.07","84.00","-","0.93","1.12","10,048","0.08","83.79","87.82","64.38",-1.1,"9.67"
"HDFCPSUBK","HDFC NIFTY PSU BANK ETF","94.35","94.35","91.77","92.96","94.00","-","1.04","1.12","18,449","0.17","92.99","94.59","55.68",5.51,"51.87"
"LOWVOL1","Kotak Nifty 100 Low Vol 30 ETF","21.76","21.96","21.23","21.76","21.96","-","0.20","0.92","28,452","0.06","21.67","22.90","18.16",-2.18,"10.30"
"GILT10BETA","UTI Nifty 10 yr Benchmark G-Sec ETF","26.05","26.10","25.87","25.85","26.06","-","0.21","0.81","1,682","-","26.13","26.99","24.75",-1.14,"-"
"EVIETF","Nifty EV & New Age Automotive ETF","31.08","31.34","30.42","31.08","31.31","-","0.23","0.74","54,475","0.17","31.01","33.75","23.56",-1,"-"
